timestamp,age_group,city,provider,plan_type,network_type,monthly_bill_range,monthly_data_range,has_ott,ott_services_included,switched_in_3_years,switch_reason,reliability_streaming,reliability_video_calls,reliability_gaming,reliability_browsing,importance_speed,importance_cost,importance_customer_service,importance_ott,importance_roaming,main_problems,call_drops_weekly,customer_support_wait_time,support_wait_time_seconds,considering_switch_6mo,Would you recommend your current provider to others?
10/5/2025 15:32:35,18–24,Ahmedabad,Jio,Prepaid (monthly recharge),5G,200–499,<5 GB,Yes,"Amazon Prime, Disney+ Hotstar,",No,Not Applicable,Neutral,Reliable,Reliable,Reliable,Moderately Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,"Poor network coverage, Low data speed",More than 15,2:00:00,172800:00:00,Not sure,No
10/13/2025 13:18:52,25–34,Ahmedabad,Jio,Prepaid (monthly recharge),5G,200–499,5–20 GB,No,SonyLiv,No,Not Applicable,Very Unreliable,Unreliable,Unreliable,Very Unreliable,Not Important,Not Important,Not Important,Slightly Important,Slightly Important,No Problems Stated,1-3,1:05:00,93600:00:00,Not sure,No
10/13/2025 13:21:30,25–34,Ahmedabad,Jio,Yearly/long-term plan,5G,200–499,5–20 GB,No,SonyLiv,No,Not Applicable,Very Unreliable,Unreliable,Unreliable,Unreliable,Not Important,Not Important,Not Important,Slightly Important,Slightly Important,OTT benefits not attractive,1-3,1:05:00,93600:00:00,Not sure,No
10/11/2025 23:51:37,25–34,Ahmedabad,Jio,Prepaid (Quarterly),5G,"800–1,499",21–50 GB,No,Not Applicable,No,Not Applicable,Very Unreliable,Very Unreliable,Very Unreliable,Very Unreliable,Moderately Important,Not Important,Not Important,Not Important,Not Important,"High cost / frequent price hikes, Low data speed, Bad customer support",1-3,1:00:00,86400:00:00,Yes,Yes
10/5/2025 12:45:10,18–24,Mumbai,Jio,Prepaid (monthly recharge),5G,"800–1,499",5–20 GB,Yes,"Netflix, Amazon Prime, Disney+ Hotstar, SonyLiv, Zee5",No,Not Applicable,Reliable,Very Reliable,Neutral,Very Reliable,Extremely Important,Extremely Important,Extremely Important,Very Important,Very Important,High cost / frequent price hikes,None,1:00:00,86400:00:00,Not sure,Yes
10/11/2025 20:10:19,18–24,Rajkot,Airtel,Prepaid (Quarterly),5G,"1,500+",21–50 GB,No,Not Applicable,Yes,Better network coverage/speed,Neutral,Neutral,Neutral,Neutral,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,"Poor network coverage, High cost / frequent price hikes",More than 15,1:00:00,86400:00:00,Not sure,Yes
10/11/2025 21:18:58,<18,Ahmedabad,Airtel,Prepaid (monthly recharge),4G,200–499,5–20 GB,No,Not Applicable,No,Not Applicable,Very Reliable,Neutral,Reliable,Unreliable,Extremely Important,Moderately Important,Slightly Important,Not Important,Not Important,High cost / frequent price hikes,8-15,0:55:00,79200:00:00,No,Yes
10/4/2025 18:33:17,18–24,Abu road,Vi,Prepaid (monthly recharge),4G,200–499,<5 GB,No,"Netflix, Amazon Prime",No,Better pricing from competitor,Unreliable,Unreliable,Neutral,Very Unreliable,Very Important,Moderately Important,Slightly Important,Moderately Important,Slightly Important,High cost / frequent price hikes,Not Stated,0:30:00,43200:00:00,No,Yes
10/11/2025 22:55:34,18–24,Ahmedabad,Jio,Yearly/long-term plan,5G,200–499,<5 GB,Yes,Not Applicable,No,Not Applicable,Very Reliable,Very Reliable,Very Reliable,Very Reliable,Extremely Important,Extremely Important,Extremely Important,Moderately Important,Moderately Important,OTT benefits not attractive,1-3,0:20:00,28800:00:00,No,Yes
10/12/2025 21:38:30,18–24,Ahmedabad,Airtel,Prepaid (monthly recharge),5G,200–499,5–20 GB,No,Not Applicable,No,Not Applicable,Very Reliable,Very Reliable,Very Reliable,Very Reliable,Extremely Important,Extremely Important,Very Important,Moderately Important,Extremely Important,High cost / frequent price hikes,More than 15,0:15:00,21600:00:00,Not sure,No
